,index_date,iec_observed,iec_predicted
2010-01-01,-1752.98419772996,,
2010-02-01,-4384.84469317859,,
2010-03-01,-3473.11208814566,,
2010-04-01,-6424.65142789884,,
2010-05-01,-4494.37896556448,,
2010-06-01,-3343.88232701937,,
2010-07-01,-4149.74163716625,,
2010-08-01,-5440.04580819343,,
2010-09-01,-7934.39787837714,,
2010-10-01,-20195.2215536053,,
2010-11-01,-4211.68869278224,,
2010-12-01,-1258.91491930577,,
2011-01-01,-3618.24379519377,,
2011-02-01,-2004.58780088223,,
2011-03-01,-10098.7216582727,,
2011-04-01,-3428.499511819,,
2011-05-01,-4779.92944529917,,
2011-06-01,-3094.52914758568,,
2011-07-01,-5355.81138183355,,
2011-08-01,-308.717194353861,,
2011-09-01,543.306135414323,,
2011-10-01,-1329.69968573204,,
2011-11-01,-4736.72938389662,,
2011-12-01,-3148.06199401875,,
2012-01-01,-4521.53755021561,-1729.439042970442,
2012-02-01,-608.769523334512,-3111.42884035251,
2012-03-01,813.053799300445,-1389.9841501925634,
2012-04-01,-617.414723788085,-1527.2748501744343,
2012-05-01,2145.88557374949,-419.7750686622897,
2012-06-01,-1196.35996420089,55.1222198185728,
2012-07-01,-844.422103658598,-2045.4934216908566,
2012-08-01,-1897.99517979069,-182.73391174986173,
2012-09-01,-875.479352320011,-1779.7480227874023,
2012-10-01,-2546.26867204479,-966.4528172198553,
2012-11-01,-2945.08150580926,-2149.0920966641675,
2012-12-01,-2777.5432913996,-1673.9936290164721,
2013-01-01,-2658.56386188425,-2057.0320625756613,
2013-02-01,-3997.48796156777,-1153.81685046817,
2013-03-01,-3050.02357331086,-2197.0639819477037,
2013-04-01,1247.42613926557,-1213.56915880829,
2013-05-01,-3834.19626532943,-557.7146932894484,
2013-06-01,-992.51405109345,-2108.197791063616,
2013-07-01,-3180.25256174384,-40.300079975455276,
2013-08-01,-6864.16854315278,-2580.969756266096,
2013-09-01,-7656.46166494245,-1877.4200713769762,
2013-10-01,507.703675707605,-2609.5469368265312,
2013-11-01,-1430.51065914972,-1331.00615046565,
2013-12-01,-626.969823415782,-2594.843780727007,
2014-01-01,-4488.68492070218,853.1113459203854,
2014-02-01,-3001.17068381059,-3235.3345201465863,
2014-03-01,-5714.02112850014,-1022.8889955539253,
2014-04-01,-1985.87933066477,-2709.3119292226193,
2014-05-01,-6098.39493524461,-851.5544802883162,
2014-06-01,-8372.30457417261,-3618.956919994968,
2014-07-01,2084.4365018646,-2122.2385726398097,
2014-08-01,-5840.82562969382,-1970.851059106094,
2014-09-01,-6978.19497500873,-3873.801132930595,
2014-10-01,-6115.98609825973,-673.6986255421803,
2014-11-01,-2750.96756873989,-3658.4440315554193,
2014-12-01,7500.75027349308,-1871.9575429266993,
2015-01-01,-8994.54251748653,328.9292716719164,
2015-02-01,-5181.45352017766,-3554.0551413419653,
2015-03-01,-3006.63688962871,-1262.2888041113472,
2015-04-01,-4301.16531699687,-2849.202520639889,
2015-05-01,-4139.64297284061,-2749.222115125706,
2015-06-01,299.980805668431,-2875.3078022625923,
2015-07-01,6102.55379050625,-108.5789217229011,
2015-08-01,202.860569765312,956.6499257881792,
2015-09-01,2284.69789451233,-1235.1416490851225,
2015-10-01,2473.15626662584,850.0873710381102,
2015-11-01,-5001.24904378622,-664.5796674424623,
2015-12-01,1405.7975350137,-567.7513896233792,
2016-01-01,4640.30932373338,-1176.1895133047474,
2016-02-01,4638.52577791932,229.31862162577988,
2016-03-01,714.14495579919,1416.6737608566868,
2016-04-01,516.264339158961,-561.2105020030858,
2016-05-01,5071.65882762164,-267.5222509425275,
2016-06-01,-3100.79017900718,756.7027789633692,
2016-07-01,-632.724290308368,-1052.6901425757592,
2016-08-01,4223.14486071266,318.0169758480123,
2016-09-01,3085.13183182902,601.0413108689135,
2016-10-01,1200.34232724307,298.5901752497209,
2016-11-01,-808.099330530134,57.583840920790465,
2016-12-01,660.840651003333,-593.1392542356401,
2017-01-01,4722.98786255078,108.86447233529171,
2017-02-01,1063.73764669956,687.7185421203263,
2017-03-01,4062.43727106629,-84.51491252093547,
2017-04-01,-2018.00650725403,1470.0298940628622,
2017-05-01,715.952079710721,-1077.6614566184853,
2017-06-01,3937.70864256598,904.2669831229642,
2017-07-01,-239.913416508091,-1216.6756133652618,
2017-08-01,-285.331794819571,581.928558090313,
2017-09-01,2874.84359714001,241.80188376873258,
2017-10-01,-1180.43945723547,532.2976813423359,
2017-11-01,2602.81376761822,-1294.317628855506,
2017-12-01,1815.82930748537,-207.24813072414565,
2018-01-01,-7575.61534635153,939.488594151735,
2018-02-01,-80.9141519216132,-2341.0583978204772,
2018-03-01,11433.1329987513,-1.0059275812179251,
2018-04-01,-4205.06834463618,1026.4538584673699,
2018-05-01,1801.1409934161,-1075.1178068824984,
2018-06-01,2244.50193337189,452.39036331739,
2018-07-01,-9725.09314960991,-419.91543077266624,
2018-08-01,4189.08102315779,-2734.6943951279222,
2018-09-01,1505.28666986736,12.727178265153611,
2018-10-01,79.6874630435368,-1797.412276607766,
2018-11-01,5358.95367095172,2561.280873964076,
2018-12-01,2120.0135996664,-259.5857545445085,
2019-01-01,-1325.15110822568,-969.4861676442724,
2019-02-01,-2294.53601357895,-945.0883456432979,
2019-03-01,-298.922214227858,-865.7583468814613,
2019-04-01,3728.15000132243,-1237.9802327501695,
2019-05-01,1927.58567316417,534.7823658769047,
2019-06-01,2357.0720236292,368.0103498660546,
2019-07-01,-395.657369942267,-372.22095738247214,
2019-08-01,5079.29380354798,-885.8238967333766,
2019-09-01,2069.71684909248,1411.6591184783051,
2019-10-01,5713.98259640398,-552.5564445686625,
2019-11-01,-45.7437465748297,2069.1316132254105,
2019-12-01,3016.78162922992,-1780.7714136563322,
2020-01-01,-248.522532988258,1799.116536705645,
2020-02-01,3770.98694089733,-2240.5211511835078,
2020-03-01,23368.5328083801,1422.6176715986808,
2020-04-01,10897.5100420516,6615.084843364748,
2020-05-01,605.611801052341,3070.2096848189544,
2020-06-01,-4610.82751301648,1866.8571704411956,
2020-07-01,4024.65286874725,-2750.3244956454205,
2020-08-01,-3759.3341761216,290.5724702541807,
2020-09-01,-1946.14988778065,-3718.114301904256,
2020-10-01,-4943.71527022613,925.4149883240902,
2020-11-01,-5797.8230968538,-3703.026229342732,
2020-12-01,-7693.26628467831,-2260.7780482016597,
2021-01-01,,,-5583.171495134859
2021-02-01,,,-1806.2724266770858
2021-03-01,,,-3041.1734014209283
2021-04-01,,,-2739.573071400698
2021-05-01,,,-5517.832569685719
2021-06-01,,,-7410.270819190713
2021-07-01,,,-7008.144400731962
2021-08-01,,,-10136.685002534308
2021-09-01,,,-11383.156334265954
2021-10-01,,,-12652.869924703733
2021-11-01,,,-14626.78193330393
2021-12-01,,,-16040.141900529363
2022-01-01,,,-16703.606338087546
