index_date,ibov
2010-02-01,1568.1373802917005
2010-03-01,1096.9189544947003
2010-04-01,-723.3248155873007
2010-05-01,-1974.6589316190948
2010-06-01,2741.4713750091905
2010-07-01,3656.0029724829074
2010-08-01,-1968.0932713138027
2010-09-01,957.7297378117073
2010-10-01,1088.9227505273884
2010-11-01,-1684.5279314218933
2010-12-01,-232.56379520510382
2011-01-01,-3136.545712657098
2011-02-01,1358.7487784092082
2011-03-01,-1414.0381546037097
2011-04-01,-699.0387008690959
2011-05-01,890.8555134681956
2011-06-01,2417.777781065706
2011-07-01,-6789.622958251406
2011-08-01,-1997.790063178698
2011-09-01,-6822.702042413497
2011-10-01,5666.8803108102
2011-11-01,-471.7686012313061
2011-12-01,-1112.9505196669998
2012-01-01,5908.978192648501
2012-02-01,3445.992292856303
2012-03-01,-3502.8665664852015
2012-04-01,-1913.4207538496994
2012-05-01,-5294.468420928402
2012-06-01,3642.854019967999
2012-07-01,-741.3839478036971
2012-08-01,1407.1410257445023
2012-09-01,-189.88775451100082
2012-10-01,-2601.5590605659017
2012-11-01,1197.5053536346022
2012-12-01,3279.121960650402
2013-01-01,-1601.6392990162058
2013-02-01,-1380.4731415588976
2013-03-01,-2996.131712521601
2013-04-01,-703.8832931911966
2013-05-01,-196.1199321735039
2013-06-01,-3429.5811840702954
2013-07-01,-1441.3411634706063
2013-08-01,2358.255660928102
2013-09-01,949.9057442234989
2013-10-01,1043.4009137335015
2013-11-01,-1059.4774956640977
2013-12-01,-368.4756674090022
2014-01-01,-4516.7881744257975
2014-02-01,172.15178898299928
2014-03-01,2018.307272053702
2014-04-01,71.66743118209706
2014-05-01,2063.6610639870996
2014-06-01,4321.2944922225
2014-07-01,182.9132701851995
2014-08-01,6166.362274687301
2014-09-01,-8091.7192749686
2014-10-01,-780.9880092558014
2014-11-01,1001.8737531346997
2014-12-01,-3557.813175443196
2015-01-01,-4214.478544427802
2015-02-01,5214.736796074103
2015-03-01,-1524.3111683483003
2015-04-01,3396.758311658101
2015-05-01,26.76750660509424
2015-06-01,1778.3144361860031
2015-07-01,-4816.123830013603
2015-08-01,-3481.3595828600955
2015-09-01,-1806.0192868830054
2015-10-01,-694.5412608918996
2015-11-01,196.93161972520465
2015-12-01,-413.70476663190493
2016-01-01,-4564.416515894198
2016-02-01,2636.964358140802
2016-03-01,6755.013845484296
2016-04-01,2192.0264303274016
2016-05-01,-1830.699888011899
2016-06-01,4021.847443525403
2016-07-01,3376.998099719196
2016-08-01,1664.4388516506006
2016-09-01,357.7147250097987
2016-10-01,4224.758613511003
2016-11-01,-1586.0376535005998
2016-12-01,301.6424804174967
2017-01-01,1060.907364331404
2017-02-01,2704.394216381297
2017-03-01,-1969.104678421696
2017-04-01,-909.2640237333035
2017-05-01,1759.1885138081998
2017-06-01,490.9651216655984
2017-07-01,705.9060721335045
2017-08-01,6164.653945437196
2017-09-01,3769.513305857501
2017-10-01,-3140.7629201942036
2017-11-01,-837.9382436394953
2017-12-01,6317.606603658001
2018-01-01,3603.6972689684917
2018-02-01,1941.1651239357016
2018-03-01,286.71518692300015
2018-04-01,67.3259721443028
2018-05-01,-5012.545541071202
2018-06-01,-4135.786869812189
2018-07-01,4976.314002074694
2018-08-01,-1840.2821402653062
2018-09-01,3110.7558234578028
2018-10-01,4790.925750711409
2018-11-01,3412.1272520836937
2018-12-01,-624.7164013449074
2019-01-01,4286.115256362013
2019-02-01,802.9971936403017
2019-03-01,232.2542684689979
2019-04-01,1353.1348946303915
2019-05-01,4240.234328040999
2019-06-01,3320.0769559011096
2019-07-01,104.57584826998936
2019-08-01,-51.39250850799726
2019-09-01,4640.33378348501
2019-10-01,-1785.6599683100067
2019-11-01,1831.2915804119984
2019-12-01,7765.705642964007
2020-01-01,-7233.727094257003
2020-02-01,-5665.570931604001
2020-03-01,-30180.946183474196
2020-04-01,8216.1230965399
2020-05-01,8587.86948105719
2020-06-01,6941.788568642107
2020-07-01,8127.281884961994
2020-08-01,-2991.982756931
2020-09-01,-3901.3833101286
2020-10-01,-4088.729134875495
2020-11-01,14846.32146689709
2020-12-01,9894.086272837012
